timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,hot_word_count,stale_word_ratio,avg_word_heat,prefetch_accuracy_percent,prefetch_attempts,prefetch_hits,window_tuning_checks,final_effective_window_size,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,decay_rate_q16,decay_min_interval_ns,rolling_window_size,adaptive_shrink_rate,heat_cache_demotion_threshold,enable_hotwords_cache,enable_pipelining
2025-11-10T08:39:52,A_C_FULL__HB_ON,336,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.610526,0.00,0,0,0,4096,257974403072,0,30474240,1,1000,4096,75,10,0,1
2025-11-10T08:39:58,A_B_CACHE__HB_ON,224,4001,904,22.59,2378,59.44,27,831,48,3189,0,0,0.00,4096,0.33,4,0.087719,1.578947,0.00,0,0,0,4096,217598656512,0,30408704,1,1000,4096,75,10,1,0
2025-11-10T08:40:05,A_BASELINE__HB_ON,174,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.564912,0.00,0,0,0,4096,211854491648,0,1507328,1,1000,4096,75,10,0,0
2025-11-10T08:40:12,A_B_CACHE__HB_ON,33,4001,934,23.34,2348,58.69,27,818,49,9635,0,0,0.00,4096,0.33,5,0.094737,1.585965,0.00,0,0,0,4096,211758743552,0,-3932160,1,1000,4096,75,10,1,0
2025-11-10T08:40:18,A_BASELINE__HB_ON,44,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.968421,0.00,0,0,0,4096,191950094336,0,16646144,1,1000,4096,75,10,0,0
2025-11-10T08:40:25,A_C_FULL__HB_OFF,191,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,3,0.073684,1.357895,0.00,0,0,0,4096,266379657216,0,11206656,1,1000,4096,75,10,0,1
2025-11-10T08:40:31,A_B_CACHE__HB_OFF,148,4001,1030,25.74,2252,56.29,27,830,49,18265,0,0,0.00,4096,0.33,5,0.073684,1.596491,0.00,0,0,0,4096,177451499520,0,13762560,1,1000,4096,75,10,1,0
2025-11-10T08:40:41,A_B_C_FULL__HB_ON,82,4001,1078,26.94,2204,55.09,32,1253,67,51467,851,752,88.37,4096,0.33,5,0.091228,1.410526,88.37,851,752,0,4096,383490588672,0,0,1,1000,4096,75,10,1,1
2025-11-10T08:40:53,A_C_FULL__HB_ON,136,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,0,0.073684,0.985965,0.00,0,0,0,4096,376484003840,0,-65536,1,1000,4096,75,10,0,1
2025-11-10T08:41:05,A_BASELINE__HB_ON,304,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.729825,0.00,0,0,0,4096,273066229760,0,2424832,1,1000,4096,75,10,0,0
