"configuration","metric","observations","mean","sd","median","min","max"
"A_B_C_FULL__HB_OFF","adaptive_shrink_rate",360,75,0,75,75,75
"A_B_C_FULL__HB_OFF","avg_word_heat",360,1.62662764166667,0.0464565655610612,1.62807,1.421053,1.705263
"A_B_C_FULL__HB_OFF","bucket_hit_percent",360,53.2829722222222,1.52595658816873,52.61,51.66,59.51
"A_B_C_FULL__HB_OFF","bucket_hits",360,2131.83888888889,61.0223634871565,2105,2067,2381
"A_B_C_FULL__HB_OFF","bucket_search_latency_ns",360,52.1027777777778,4.58810294580315,51,44,83
"A_B_C_FULL__HB_OFF","bucket_search_stddev_ns",360,16754.3805555556,104516.257881735,3626,2625,1825870
"A_B_C_FULL__HB_OFF","cache_hit_latency_ns",360,29.6805555555556,4.05541829134756,29,25,75
"A_B_C_FULL__HB_OFF","cache_hit_percent",360,28.7470277777778,1.52595658816873,29.42,22.52,30.37
"A_B_C_FULL__HB_OFF","cache_hit_stddev_ns",360,14555.6,134058.887988109,982,727,1969977
"A_B_C_FULL__HB_OFF","cache_hits",360,1150.16111111111,61.0223634871565,1177,901,1215
"A_B_C_FULL__HB_OFF","context_accuracy_percent",360,88.37,0,88.37,88.37,88.37
"A_B_C_FULL__HB_OFF","context_correct",360,752,0,752,752,752
"A_B_C_FULL__HB_OFF","context_predictions_total",360,851,0,851,851,851
"A_B_C_FULL__HB_OFF","cpu_freq_delta_mhz_q48",360,5895509.33333333,12272817.2411832,917504,-28442624,43057152
"A_B_C_FULL__HB_OFF","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_B_C_FULL__HB_OFF","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_B_C_FULL__HB_OFF","decay_rate_q16",360,1,0,1,1,1
"A_B_C_FULL__HB_OFF","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_B_C_FULL__HB_OFF","enable_hotwords_cache",360,1,0,1,1,1
"A_B_C_FULL__HB_OFF","enable_pipelining",360,1,0,1,1,1
"A_B_C_FULL__HB_OFF","final_effective_window_size",360,4096,0,4096,4096,4096
"A_B_C_FULL__HB_OFF","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_B_C_FULL__HB_OFF","hot_word_count",360,6.75,0.521140809889794,7,5,7
"A_B_C_FULL__HB_OFF","prefetch_accuracy_percent",360,88.37,0,88.37,88.37,88.37
"A_B_C_FULL__HB_OFF","prefetch_attempts",360,851,0,851,851,851
"A_B_C_FULL__HB_OFF","prefetch_hits",360,752,0,752,752,752
"A_B_C_FULL__HB_OFF","rolling_window_size",360,4096,0,4096,4096,4096
"A_B_C_FULL__HB_OFF","rolling_window_width",360,4096,0,4096,4096,4096
"A_B_C_FULL__HB_OFF","stale_word_ratio",360,0.0706331194444444,0.00118387538617161,0.070175,0.070175,0.073684
"A_B_C_FULL__HB_OFF","total_lookups",360,4001,0,4001,4001,4001
"A_B_C_FULL__HB_OFF","vm_workload_duration_ns_q48",360,257004058851.556,35700777886.5627,248858574848,207928557568,557871529984
"A_B_C_FULL__HB_OFF","window_tuning_checks",360,0,0,0,0,0
"A_B_C_FULL__HB_ON","adaptive_shrink_rate",360,75,0,75,75,75
"A_B_C_FULL__HB_ON","avg_word_heat",360,1.67654971111111,0.145376502634062,1.7526315,1.147368,1.803509
"A_B_C_FULL__HB_ON","bucket_hit_percent",360,54.3205833333333,1.24789179042608,54.36,51.99,59.86
"A_B_C_FULL__HB_ON","bucket_hits",360,2173.32222222222,49.9095734454861,2175,2080,2395
"A_B_C_FULL__HB_ON","bucket_search_latency_ns",360,53.0027777777778,7.37061039229022,52,45,159
"A_B_C_FULL__HB_ON","bucket_search_stddev_ns",360,85822.3888888889,1117497.13304609,3737,2731,20976960
"A_B_C_FULL__HB_ON","cache_hit_latency_ns",360,30.4888888888889,6.83631861778599,30,26,128
"A_B_C_FULL__HB_ON","cache_hit_percent",360,27.7094166666667,1.24789179042608,27.67,22.17,30.04
"A_B_C_FULL__HB_ON","cache_hit_stddev_ns",360,50004.9944444444,583244.626424136,1011.5,760,10338737
"A_B_C_FULL__HB_ON","cache_hits",360,1108.67777777778,49.9095734454861,1107,887,1202
"A_B_C_FULL__HB_ON","context_accuracy_percent",360,88.37,0,88.37,88.37,88.37
"A_B_C_FULL__HB_ON","context_correct",360,752,0,752,752,752
"A_B_C_FULL__HB_ON","context_predictions_total",360,851,0,851,851,851
"A_B_C_FULL__HB_ON","cpu_freq_delta_mhz_q48",360,5715831.46666667,11954313.471604,917504,-26148864,42926080
"A_B_C_FULL__HB_ON","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_B_C_FULL__HB_ON","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_B_C_FULL__HB_ON","decay_rate_q16",360,1,0,1,1,1
"A_B_C_FULL__HB_ON","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_B_C_FULL__HB_ON","enable_hotwords_cache",360,1,0,1,1,1
"A_B_C_FULL__HB_ON","enable_pipelining",360,1,0,1,1,1
"A_B_C_FULL__HB_ON","final_effective_window_size",360,4096,0,4096,4096,4096
"A_B_C_FULL__HB_ON","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_B_C_FULL__HB_ON","hot_word_count",360,6.37777777777778,1.166646769959,6,4,8
