"configuration","metric","observations","mean","sd","median","min","max"
"A_B_C_FULL__HB_ON","prefetch_accuracy_percent",360,88.37,0,88.37,88.37,88.37
"A_B_C_FULL__HB_ON","prefetch_attempts",360,851,0,851,851,851
"A_B_C_FULL__HB_ON","prefetch_hits",360,752,0,752,752,752
"A_B_C_FULL__HB_ON","rolling_window_size",360,4096,0,4096,4096,4096
"A_B_C_FULL__HB_ON","rolling_window_width",360,4096,0,4096,4096,4096
"A_B_C_FULL__HB_ON","stale_word_ratio",360,0.0812669111111111,0.00938186467368337,0.087719,0.05614,0.091228
"A_B_C_FULL__HB_ON","total_lookups",360,4001,0,4001,4001,4001
"A_B_C_FULL__HB_ON","vm_workload_duration_ns_q48",360,310711076090.311,25264710595.8807,305527619584,263030505472,448887652352
"A_B_C_FULL__HB_ON","window_tuning_checks",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","adaptive_shrink_rate",360,75,0,75,75,75
"A_B_CACHE__HB_OFF","avg_word_heat",360,1.67930797777778,0.0867109453753245,1.694737,1.280702,1.821053
"A_B_CACHE__HB_OFF","bucket_hit_percent",360,57.6329722222222,1.63712272204184,56.99,55.89,65.38
"A_B_CACHE__HB_OFF","bucket_hits",360,2305.82222222222,65.5200031592603,2280,2236,2616
"A_B_CACHE__HB_OFF","bucket_search_latency_ns",360,48.0055555555556,4.23277729041108,47,42,88
"A_B_CACHE__HB_OFF","bucket_search_stddev_ns",360,25999.6972222222,245272.465521651,3087,2377,4552996
"A_B_CACHE__HB_OFF","cache_hit_latency_ns",360,27.0694444444444,2.77938285412963,27,23,56
"A_B_CACHE__HB_OFF","cache_hit_percent",360,24.3968888888889,1.63737723863599,25.04,16.65,26.14
"A_B_CACHE__HB_OFF","cache_hit_stddev_ns",360,5312.24444444444,39267.4118729403,797,613,665467
"A_B_CACHE__HB_OFF","cache_hits",360,976.177777777778,65.5200031592603,1002,666,1046
"A_B_CACHE__HB_OFF","context_accuracy_percent",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","context_correct",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","context_predictions_total",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","cpu_freq_delta_mhz_q48",360,4253650.48888889,11144189.014264,294912,-20316160,43122688
"A_B_CACHE__HB_OFF","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_B_CACHE__HB_OFF","decay_rate_q16",360,1,0,1,1,1
"A_B_CACHE__HB_OFF","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_B_CACHE__HB_OFF","enable_hotwords_cache",360,1,0,1,1,1
"A_B_CACHE__HB_OFF","enable_pipelining",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","final_effective_window_size",360,4096,0,4096,4096,4096
"A_B_CACHE__HB_OFF","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_B_CACHE__HB_OFF","hot_word_count",360,4.97777777777778,0.147610703673748,5,4,5
"A_B_CACHE__HB_OFF","prefetch_accuracy_percent",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","prefetch_attempts",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","prefetch_hits",360,0,0,0,0,0
"A_B_CACHE__HB_OFF","rolling_window_size",360,4096,0,4096,4096,4096
"A_B_CACHE__HB_OFF","rolling_window_width",360,4096,0,4096,4096,4096
"A_B_CACHE__HB_OFF","stale_word_ratio",360,0.073684,0,0.073684,0.073684,0.073684
"A_B_CACHE__HB_OFF","total_lookups",360,4001,0,4001,4001,4001
"A_B_CACHE__HB_OFF","vm_workload_duration_ns_q48",360,195781624172.089,21775622845.354,192205127680,159980257280,280115871744
"A_B_CACHE__HB_OFF","window_tuning_checks",360,0,0,0,0,0
"A_B_CACHE__HB_ON","adaptive_shrink_rate",360,75,0,75,75,75
"A_B_CACHE__HB_ON","avg_word_heat",360,1.77836256111111,0.170425586951056,1.824561,0.975439,1.978947
"A_B_CACHE__HB_ON","bucket_hit_percent",360,59.0172222222222,1.68930209438058,58.81,56.19,65.16
"A_B_CACHE__HB_ON","bucket_hits",360,2361.21111111111,67.6227441826744,2353,2248,2607
"A_B_CACHE__HB_ON","bucket_search_latency_ns",360,48.9166666666667,6.08562395662961,48,42,112
"A_B_CACHE__HB_ON","bucket_search_stddev_ns",360,61016.4555555556,519572.209317569,3188.5,2297,7794845
"A_B_CACHE__HB_ON","cache_hit_latency_ns",360,28.0361111111111,7.57736891363738,27,24,152
"A_B_CACHE__HB_ON","cache_hit_percent",360,23.0125555555556,1.68955174362847,23.22,16.87,25.84
"A_B_CACHE__HB_ON","cache_hit_stddev_ns",360,50887.0611111111,728185.42885364,831,647,13518718
"A_B_CACHE__HB_ON","cache_hits",360,920.788888888889,67.6227441826744,929,675,1034
"A_B_CACHE__HB_ON","context_accuracy_percent",360,0,0,0,0,0
"A_B_CACHE__HB_ON","context_correct",360,0,0,0,0,0
"A_B_CACHE__HB_ON","context_predictions_total",360,0,0,0,0,0
"A_B_CACHE__HB_ON","cpu_freq_delta_mhz_q48",360,4715861.33333333,10867310.8476505,196608,-23134208,41484288
"A_B_CACHE__HB_ON","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_B_CACHE__HB_ON","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_B_CACHE__HB_ON","decay_rate_q16",360,1,0,1,1,1
"A_B_CACHE__HB_ON","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_B_CACHE__HB_ON","enable_hotwords_cache",360,1,0,1,1,1
"A_B_CACHE__HB_ON","enable_pipelining",360,0,0,0,0,0
"A_B_CACHE__HB_ON","final_effective_window_size",360,4096,0,4096,4096,4096
"A_B_CACHE__HB_ON","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_B_CACHE__HB_ON","hot_word_count",360,4.94722222222222,0.350078471991854,5,0,5
"A_B_CACHE__HB_ON","prefetch_accuracy_percent",360,0,0,0,0,0
"A_B_CACHE__HB_ON","prefetch_attempts",360,0,0,0,0,0
"A_B_CACHE__HB_ON","prefetch_hits",360,0,0,0,0,0
"A_B_CACHE__HB_ON","rolling_window_size",360,4096,0,4096,4096,4096
"A_B_CACHE__HB_ON","rolling_window_width",360,4096,0,4096,4096,4096
"A_B_CACHE__HB_ON","stale_word_ratio",360,0.0916863027777778,0.00560130220832278,0.094737,0.070175,0.094737
"A_B_CACHE__HB_ON","total_lookups",360,4001,0,4001,4001,4001
"A_B_CACHE__HB_ON","vm_workload_duration_ns_q48",360,217948105568.711,27177621359.0145,212431110144,180611842048,498981142528
"A_B_CACHE__HB_ON","window_tuning_checks",360,0,0,0,0,0
"A_BASELINE__HB_OFF","adaptive_shrink_rate",360,75,0,75,75,75
"A_BASELINE__HB_OFF","avg_word_heat",360,1.70456137777778,0.0891649628301562,1.705263,1.308772,1.859649
"A_BASELINE__HB_OFF","bucket_hit_percent",360,0,0,0,0,0
"A_BASELINE__HB_OFF","bucket_hits",360,0,0,0,0,0
"A_BASELINE__HB_OFF","bucket_search_latency_ns",360,0,0,0,0,0
"A_BASELINE__HB_OFF","bucket_search_stddev_ns",360,0,0,0,0,0
"A_BASELINE__HB_OFF","cache_hit_latency_ns",360,0,0,0,0,0
"A_BASELINE__HB_OFF","cache_hit_percent",360,0,0,0,0,0
"A_BASELINE__HB_OFF","cache_hit_stddev_ns",360,0,0,0,0,0
"A_BASELINE__HB_OFF","cache_hits",360,0,0,0,0,0
"A_BASELINE__HB_OFF","context_accuracy_percent",360,0,0,0,0,0
"A_BASELINE__HB_OFF","context_correct",360,0,0,0,0,0
"A_BASELINE__HB_OFF","context_predictions_total",360,0,0,0,0,0
"A_BASELINE__HB_OFF","cpu_freq_delta_mhz_q48",360,4785766.4,13111521.5487899,393216,-103612416,43384832
"A_BASELINE__HB_OFF","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_BASELINE__HB_OFF","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_BASELINE__HB_OFF","decay_rate_q16",360,1,0,1,1,1
"A_BASELINE__HB_OFF","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_BASELINE__HB_OFF","enable_hotwords_cache",360,0,0,0,0,0
"A_BASELINE__HB_OFF","enable_pipelining",360,0,0,0,0,0
"A_BASELINE__HB_OFF","final_effective_window_size",360,4096,0,4096,4096,4096
"A_BASELINE__HB_OFF","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_BASELINE__HB_OFF","hot_word_count",360,4.99166666666667,0.0910324561790707,5,4,5
"A_BASELINE__HB_OFF","prefetch_accuracy_percent",360,0,0,0,0,0
"A_BASELINE__HB_OFF","prefetch_attempts",360,0,0,0,0,0
"A_BASELINE__HB_OFF","prefetch_hits",360,0,0,0,0,0
"A_BASELINE__HB_OFF","rolling_window_size",360,4096,0,4096,4096,4096
"A_BASELINE__HB_OFF","rolling_window_width",360,4096,0,4096,4096,4096
"A_BASELINE__HB_OFF","stale_word_ratio",360,0.073684,0,0.073684,0.073684,0.073684
"A_BASELINE__HB_OFF","total_lookups",360,0,0,0,0,0
"A_BASELINE__HB_OFF","vm_workload_duration_ns_q48",360,192404588498.489,29341274276.1544,188111945728,152306384896,524119179264
"A_BASELINE__HB_OFF","window_tuning_checks",360,0,0,0,0,0
"A_BASELINE__HB_ON","adaptive_shrink_rate",360,75,0,75,75,75
"A_BASELINE__HB_ON","avg_word_heat",360,1.82137425277778,0.161299122144772,1.868421,0.912281,2.024561
"A_BASELINE__HB_ON","bucket_hit_percent",360,0,0,0,0,0
"A_BASELINE__HB_ON","bucket_hits",360,0,0,0,0,0
"A_BASELINE__HB_ON","bucket_search_latency_ns",360,0,0,0,0,0
"A_BASELINE__HB_ON","bucket_search_stddev_ns",360,0,0,0,0,0
"A_BASELINE__HB_ON","cache_hit_latency_ns",360,0,0,0,0,0
"A_BASELINE__HB_ON","cache_hit_percent",360,0,0,0,0,0
"A_BASELINE__HB_ON","cache_hit_stddev_ns",360,0,0,0,0,0
"A_BASELINE__HB_ON","cache_hits",360,0,0,0,0,0
"A_BASELINE__HB_ON","context_accuracy_percent",360,0,0,0,0,0
"A_BASELINE__HB_ON","context_correct",360,0,0,0,0,0
"A_BASELINE__HB_ON","context_predictions_total",360,0,0,0,0,0
"A_BASELINE__HB_ON","cpu_freq_delta_mhz_q48",360,3048880.35555556,10301307.6481297,65536,-27656192,33226752
"A_BASELINE__HB_ON","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_BASELINE__HB_ON","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_BASELINE__HB_ON","decay_rate_q16",360,1,0,1,1,1
"A_BASELINE__HB_ON","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_BASELINE__HB_ON","enable_hotwords_cache",360,0,0,0,0,0
"A_BASELINE__HB_ON","enable_pipelining",360,0,0,0,0,0
"A_BASELINE__HB_ON","final_effective_window_size",360,4096,0,4096,4096,4096
"A_BASELINE__HB_ON","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_BASELINE__HB_ON","hot_word_count",360,4.96666666666667,0.221416055510622,5,3,5
"A_BASELINE__HB_ON","prefetch_accuracy_percent",360,0,0,0,0,0
"A_BASELINE__HB_ON","prefetch_attempts",360,0,0,0,0,0
"A_BASELINE__HB_ON","prefetch_hits",360,0,0,0,0,0
"A_BASELINE__HB_ON","rolling_window_size",360,4096,0,4096,4096,4096
"A_BASELINE__HB_ON","rolling_window_width",360,4096,0,4096,4096,4096
"A_BASELINE__HB_ON","stale_word_ratio",360,0.091929975,0.00524309132080103,0.094737,0.063158,0.094737
"A_BASELINE__HB_ON","total_lookups",360,0,0,0,0,0
"A_BASELINE__HB_ON","vm_workload_duration_ns_q48",360,213960906433.422,22445841414.8809,210874957824,175249227776,381885677568
"A_BASELINE__HB_ON","window_tuning_checks",360,0,0,0,0,0
"A_C_FULL__HB_OFF","adaptive_shrink_rate",360,75,0,75,75,75
"A_C_FULL__HB_OFF","avg_word_heat",360,1.39977584722222,0.119931816880988,1.421053,0.596491,1.575439
"A_C_FULL__HB_OFF","bucket_hit_percent",360,0,0,0,0,0
"A_C_FULL__HB_OFF","bucket_hits",360,0,0,0,0,0
"A_C_FULL__HB_OFF","bucket_search_latency_ns",360,0,0,0,0,0
"A_C_FULL__HB_OFF","bucket_search_stddev_ns",360,0,0,0,0,0
"A_C_FULL__HB_OFF","cache_hit_latency_ns",360,0,0,0,0,0
"A_C_FULL__HB_OFF","cache_hit_percent",360,0,0,0,0,0
"A_C_FULL__HB_OFF","cache_hit_stddev_ns",360,0,0,0,0,0
"A_C_FULL__HB_OFF","cache_hits",360,0,0,0,0,0
"A_C_FULL__HB_OFF","context_accuracy_percent",360,0,0,0,0,0
"A_C_FULL__HB_OFF","context_correct",360,0,0,0,0,0
"A_C_FULL__HB_OFF","context_predictions_total",360,0,0,0,0,0
"A_C_FULL__HB_OFF","cpu_freq_delta_mhz_q48",360,7453081.6,12808479.5420708,2981888,-25034752,43319296
"A_C_FULL__HB_OFF","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_C_FULL__HB_OFF","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_C_FULL__HB_OFF","decay_rate_q16",360,1,0,1,1,1
"A_C_FULL__HB_OFF","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_C_FULL__HB_OFF","enable_hotwords_cache",360,0,0,0,0,0
"A_C_FULL__HB_OFF","enable_pipelining",360,1,0,1,1,1
"A_C_FULL__HB_OFF","final_effective_window_size",360,4096,0,4096,4096,4096
"A_C_FULL__HB_OFF","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_C_FULL__HB_OFF","hot_word_count",360,4.55555555555556,0.832636663293763,5,0,5
"A_C_FULL__HB_OFF","prefetch_accuracy_percent",360,0,0,0,0,0
"A_C_FULL__HB_OFF","prefetch_attempts",360,0,0,0,0,0
"A_C_FULL__HB_OFF","prefetch_hits",360,0,0,0,0,0
"A_C_FULL__HB_OFF","rolling_window_size",360,4096,0,4096,4096,4096
"A_C_FULL__HB_OFF","rolling_window_width",360,4096,0,4096,4096,4096
"A_C_FULL__HB_OFF","stale_word_ratio",360,0.0737132416666667,0.000413078590507827,0.073684,0.073684,0.080702
"A_C_FULL__HB_OFF","total_lookups",360,0,0,0,0,0
"A_C_FULL__HB_OFF","vm_workload_duration_ns_q48",360,246132978665.244,26907136516.0338,241629495296,204343869440,356998643712
"A_C_FULL__HB_OFF","window_tuning_checks",360,0,0,0,0,0
"A_C_FULL__HB_ON","adaptive_shrink_rate",360,75,0,75,75,75
"A_C_FULL__HB_ON","avg_word_heat",360,1.40728070833333,0.17408628773142,1.407018,0.74386,1.670175
"A_C_FULL__HB_ON","bucket_hit_percent",360,0,0,0,0,0
"A_C_FULL__HB_ON","bucket_hits",360,0,0,0,0,0
"A_C_FULL__HB_ON","bucket_search_latency_ns",360,0,0,0,0,0
"A_C_FULL__HB_ON","bucket_search_stddev_ns",360,0,0,0,0,0
"A_C_FULL__HB_ON","cache_hit_latency_ns",360,0,0,0,0,0
"A_C_FULL__HB_ON","cache_hit_percent",360,0,0,0,0,0
"A_C_FULL__HB_ON","cache_hit_stddev_ns",360,0,0,0,0,0
"A_C_FULL__HB_ON","cache_hits",360,0,0,0,0,0
"A_C_FULL__HB_ON","context_accuracy_percent",360,0,0,0,0,0
"A_C_FULL__HB_ON","context_correct",360,0,0,0,0,0
"A_C_FULL__HB_ON","context_predictions_total",360,0,0,0,0,0
"A_C_FULL__HB_ON","cpu_freq_delta_mhz_q48",360,4702025.95555556,11284971.8519562,688128,-30736384,41811968
"A_C_FULL__HB_ON","cpu_temp_delta_c_q48",360,0,0,0,0,0
"A_C_FULL__HB_ON","decay_min_interval_ns",360,1000,0,1000,1000,1000
"A_C_FULL__HB_ON","decay_rate_q16",360,1,0,1,1,1
"A_C_FULL__HB_ON","decay_slope",360,0.33,0,0.33,0.33,0.33
"A_C_FULL__HB_ON","enable_hotwords_cache",360,0,0,0,0,0
"A_C_FULL__HB_ON","enable_pipelining",360,1,0,1,1,1
"A_C_FULL__HB_ON","final_effective_window_size",360,4096,0,4096,4096,4096
"A_C_FULL__HB_ON","heat_cache_demotion_threshold",360,10,0,10,10,10
"A_C_FULL__HB_ON","hot_word_count",360,4.58611111111111,0.726211514028384,5,0,5
"A_C_FULL__HB_ON","prefetch_accuracy_percent",360,0,0,0,0,0
"A_C_FULL__HB_ON","prefetch_attempts",360,0,0,0,0,0
"A_C_FULL__HB_ON","prefetch_hits",360,0,0,0,0,0
"A_C_FULL__HB_ON","rolling_window_size",360,4096,0,4096,4096,4096
"A_C_FULL__HB_ON","rolling_window_width",360,4096,0,4096,4096,4096
"A_C_FULL__HB_ON","stale_word_ratio",360,0.0867738972222222,0.0102120776026014,0.094737,0.063158,0.094737
"A_C_FULL__HB_ON","total_lookups",360,0,0,0,0,0
"A_C_FULL__HB_ON","vm_workload_duration_ns_q48",360,272641248824.889,27141662063.5693,266869899264,225634746368,446774050816
"A_C_FULL__HB_ON","window_tuning_checks",360,0,0,0,0,0
