"configuration","cache_hit_percent","bucket_hit_percent","context_accuracy_percent","prefetch_accuracy_percent","vm_workload_duration_ns_q48","cache_hit_latency_ns"
"A_B_C_FULL",22.7616666666667,59.2682222222222,88.37,88.37,379780503233.422,33.5333333333333
"A_B_CACHE",17.4378888888889,64.5917777777778,0,0,288767096331.378,30.2333333333333
"A_BASELINE",0,0,0,0,272560251062.044,0
"A_C_FULL",0,0,0,0,348700100380.444,0
