"metric","observations","mean","sd","median","min","max"
"adaptive_shrink_rate",360,75,0,75,75,75
"avg_word_heat",360,1.42807018611111,0.241933582672136,1.417544,0.635088,1.831579
"bucket_hit_percent",360,30.965,31.0719797013752,27.705,0,66.16
"bucket_hits",360,1238.89722222222,1243.1805705172,1108.5,0,2647
"bucket_search_latency_ns",360,26.9833333333333,27.3851056441647,23,0,114
"bucket_search_stddev_ns",360,43485.725,514086.424112399,1388,0,9622093
"cache_hit_latency_ns",360,15.9416666666667,16.2698154307422,13.5,0,62
"cache_hit_percent",360,10.0498888888889,10.2590060435477,7.935,0,26.62
"cache_hit_stddev_ns",360,6378.275,52121.0880239086,389,0,716557
"cache_hits",360,402.102777777778,410.479274181599,317.5,0,1065
"context_accuracy_percent",360,22.0925,38.3185897396797,0,0,88.37
"context_correct",360,188,326.07875392372,0,0,752
"context_predictions_total",360,212.75,369.006674985486,0,0,851
"cpu_freq_delta_mhz_q48",360,1568312.88888889,5160392.40899258,0,-11665408,34406400
"cpu_temp_delta_c_q48",360,0,0,0,0,0
"decay_min_interval_ns",360,1000,0,1000,1000,1000
"decay_rate_q16",360,1,0,1,1,1
"decay_slope",360,0.33,0,0.33,0.33,0.33
"enable_hotwords_cache",360,0.5,0.500695894560844,0.5,0,1
"enable_pipelining",360,0.5,0.500695894560844,0.5,0,1
"final_effective_window_size",360,4096,0,4096,4096,4096
"heat_cache_demotion_threshold",360,10,0,10,10,10
"hot_word_count",360,4.66666666666667,1.06082429714588,5,1,7
"prefetch_accuracy_percent",360,22.0925,38.3185897396797,0,0,88.37
"prefetch_attempts",360,212.75,369.006674985486,0,0,851
"prefetch_hits",360,188,326.07875392372,0,0,752
"rolling_window_size",360,4096,0,4096,4096,4096
"rolling_window_width",360,4096,0,4096,4096,4096
"stale_word_ratio",360,0.0806530055555556,0.0112446303020373,0.080702,0.063158,0.094737
"total_lookups",360,2000.5,2003.28427413794,2000.5,0,4001
"vm_workload_duration_ns_q48",360,322451987751.822,71471322662.3333,316752822272,245501132800,1065267757056
"window_tuning_checks",360,0,0,0,0,0
