"metric","observations","mean","sd","median","min","max"
"adaptive_shrink_rate",240,75,0,75,75,75
"avg_word_heat",240,1.46236842083333,0.211375590553802,1.484211,0.638596,1.82807
"bucket_hit_percent",240,30.5630416666667,30.707469242492,27.38,0,65.83
"bucket_hits",240,1222.8125,1228.59397571585,1095.5,0,2634
"bucket_search_latency_ns",240,26.4041666666667,26.7620692542091,22,0,83
"bucket_search_stddev_ns",240,29553.7416666667,211542.108301482,1286,0,2595842
"cache_hit_latency_ns",240,15.25,15.5999946357678,12,0,68
"cache_hit_percent",240,10.4516666666667,10.7067765920947,8.1,0,27.27
"cache_hit_stddev_ns",240,6233.94166666667,74071.2340736486,329.5,0,1135968
"cache_hits",240,418.1875,428.402718692173,324,0,1091
"context_accuracy_percent",240,22.0925,38.3453019002885,0,0,88.37
"context_correct",240,188,326.30606573517,0,0,752
"context_predictions_total",240,212.75,369.263912155092,0,0,851
"cpu_freq_delta_mhz_q48",240,2318882.13333333,6435459.8005202,0,-12517376,33095680
"cpu_temp_delta_c_q48",240,0,0,0,0,0
"decay_min_interval_ns",240,1000,0,1000,1000,1000
"decay_rate_q16",240,1,0,1,1,1
"decay_slope",240,0.33,0,0.33,0.33,0.33
"enable_hotwords_cache",240,0.5,0.50104493321917,0.5,0,1
"enable_pipelining",240,0.5,0.50104493321917,0.5,0,1
"final_effective_window_size",240,4096,0,4096,4096,4096
"heat_cache_demotion_threshold",240,10,0,10,10,10
"hot_word_count",240,3.81666666666667,1.74760246206379,4,0,7
"prefetch_accuracy_percent",240,22.0925,38.3453019002885,0,0,88.37
"prefetch_attempts",240,212.75,369.263912155092,0,0,851
"prefetch_hits",240,188,326.30606573517,0,0,752
"rolling_window_size",240,4096,0,4096,4096,4096
"rolling_window_width",240,4096,0,4096,4096,4096
"stale_word_ratio",240,0.0930556,0.00311129620743133,0.094737,0.087719,0.101754
"total_lookups",240,2000.5,2004.6807778099,2000.5,0,4001
"vm_workload_duration_ns_q48",240,294110148471.467,49653330534.0725,285118005248,197326864384,528597647360
"window_tuning_checks",240,0,0,0,0,0
