"","cache_hit_percent","bucket_hit_percent","context_accuracy_percent","prefetch_accuracy_percent","vm_workload_duration_ns_q48","cache_hit_latency_ns","total_lookups","cache_hits","bucket_hits","cache_hit_stddev_ns","bucket_search_latency_ns","bucket_search_stddev_ns"
"cache_hit_percent",1,0.960619423252484,0.700493307952645,0.700493307952645,0.295362116508916,0.97037655739128,0.978213112412483,0.999999980920874,0.960610082425783,0.0915563071940641,0.972366230312142,0.100965975554317
"bucket_hit_percent",0.960619423252484,1,0.528524595682149,0.528524595682149,0.196117754008157,0.972816928025988,0.99737670010653,0.960595366981906,0.999999997294207,0.0809598808090649,0.984276899687228,0.152179281781516
"context_accuracy_percent",0.700493307952645,0.528524595682149,1,1,0.633392089586431,0.649640451699643,0.577350269189626,0.700542507605254,0.528488252148974,0.128638232748629,0.614236756587046,-0.0220642685381902
"prefetch_accuracy_percent",0.700493307952645,0.528524595682149,1,1,0.633392089586431,0.649640451699643,0.577350269189626,0.700542507605254,0.528488252148974,0.128638232748629,0.614236756587046,-0.0220642685381902
"vm_workload_duration_ns_q48",0.295362116508916,0.196117754008157,0.633392089586431,0.633392089586431,1,0.301783841511342,0.223460122680374,0.295383288737331,0.196095221123127,0.124209740576878,0.274563122194191,-0.0130606059408415
"cache_hit_latency_ns",0.97037655739128,0.972816928025988,0.649640451699643,0.649640451699643,0.301783841511342,1,0.979607417822203,0.970362676504714,0.972810645825853,0.24715514608407,0.976940043805234,0.12266396216011
"total_lookups",0.978213112412483,0.99737670010653,0.577350269189626,0.577350269189626,0.223460122680374,0.979607417822203,1,0.97819513681074,0.997374266050885,0.0843373254173554,0.988688415573626,0.139998155815372
"cache_hits",0.999999980920874,0.960595366981906,0.700542507605254,0.700542507605254,0.295383288737331,0.970362676504714,0.97819513681074,1,0.960586016067494,0.0915465717486697,0.972349904740178,0.100954938108876
"bucket_hits",0.960610082425783,0.999999997294207,0.528488252148974,0.528488252148974,0.196095221123127,0.972810645825853,0.997374266050885,0.960586016067494,1,0.0809608260734393,0.984272305761146,0.152180237758216
"cache_hit_stddev_ns",0.0915563071940641,0.0809598808090649,0.128638232748629,0.128638232748629,0.124209740576878,0.24715514608407,0.0843373254173554,0.0915465717486697,0.0809608260734393,1,0.0915662117849958,-0.00831313667145005
"bucket_search_latency_ns",0.972366230312142,0.984276899687228,0.614236756587046,0.614236756587046,0.274563122194191,0.976940043805234,0.988688415573626,0.972349904740178,0.984272305761146,0.0915662117849958,1,0.246737099795267
"bucket_search_stddev_ns",0.100965975554317,0.152179281781516,-0.0220642685381902,-0.0220642685381902,-0.0130606059408415,0.12266396216011,0.139998155815372,0.100954938108876,0.152180237758216,-0.00831313667145005,0.246737099795267,1
