"configuration","metric","observations","mean","sd","median","min","max"
"A_B_C_FULL","adaptive_shrink_rate",60,75,0,75,75,75
"A_B_C_FULL","avg_word_heat",60,1.68549708333333,0.0542191998813391,1.705263,1.45614,1.74386
"A_B_C_FULL","bucket_hit_percent",60,58.615,1.64822194901668,59.425,54.76,59.81
"A_B_C_FULL","bucket_hits",60,2345.08333333333,65.9309581527362,2377.5,2191,2393
"A_B_C_FULL","bucket_search_latency_ns",60,54.8166666666667,3.9765911074887,54,45,67
"A_B_C_FULL","bucket_search_stddev_ns",60,21486.2166666667,64419.5441740806,4264,2702,436376
"A_B_C_FULL","cache_hit_latency_ns",60,32.7666666666667,5.05349909541346,32,28,68
"A_B_C_FULL","cache_hit_percent",60,23.415,1.64822194901668,22.605,22.22,27.27
"A_B_C_FULL","cache_hit_stddev_ns",60,22703.1833333333,147456.493827207,1231.5,895,1135968
"A_B_C_FULL","cache_hits",60,936.916666666667,65.9309581527362,904.5,889,1091
"A_B_C_FULL","context_accuracy_percent",60,88.37,0,88.37,88.37,88.37
"A_B_C_FULL","context_correct",60,752,0,752,752,752
"A_B_C_FULL","context_predictions_total",60,851,0,851,851,851
"A_B_C_FULL","cpu_freq_delta_mhz_q48",60,1815347.2,5732596.12747367,0,-6225920,30998528
"A_B_C_FULL","cpu_temp_delta_c_q48",60,0,0,0,0,0
"A_B_C_FULL","decay_min_interval_ns",60,1000,0,1000,1000,1000
"A_B_C_FULL","decay_rate_q16",60,1,0,1,1,1
"A_B_C_FULL","decay_slope",60,0.33,0,0.33,0.33,0.33
"A_B_C_FULL","enable_hotwords_cache",60,1,0,1,1,1
"A_B_C_FULL","enable_pipelining",60,1,0,1,1,1
"A_B_C_FULL","final_effective_window_size",60,4096,0,4096,4096,4096
"A_B_C_FULL","heat_cache_demotion_threshold",60,10,0,10,10,10
"A_B_C_FULL","hot_word_count",60,6.18333333333333,0.469101798307298,6,5,7
"A_B_C_FULL","prefetch_accuracy_percent",60,88.37,0,88.37,88.37,88.37
"A_B_C_FULL","prefetch_attempts",60,851,0,851,851,851
"A_B_C_FULL","prefetch_hits",60,752,0,752,752,752
"A_B_C_FULL","rolling_window_size",60,4096,0,4096,4096,4096
"A_B_C_FULL","rolling_window_width",60,4096,0,4096,4096,4096
"A_B_C_FULL","stale_word_ratio",60,0.0877774833333333,0.000453009952061394,0.087719,0.087719,0.091228
"A_B_C_FULL","total_lookups",60,4001,0,4001,4001,4001
"A_B_C_FULL","vm_workload_duration_ns_q48",60,348469588787.2,34892984478.093,341400977408,282197295104,528597647360
"A_B_C_FULL","window_tuning_checks",60,0,0,0,0,0
"A_B_CACHE","adaptive_shrink_rate",60,75,0,75,75,75
"A_B_CACHE","avg_word_heat",60,1.45643275,0.108163555712763,1.468421,1.192982,1.747368
"A_B_CACHE","bucket_hit_percent",60,63.6371666666667,2.11492444202629,64.87,59.34,65.83
"A_B_CACHE","bucket_hits",60,2546.16666666667,84.6242275415596,2595.5,2374,2634
"A_B_CACHE","bucket_search_latency_ns",60,50.8,6.42241836282242,50,44,83
"A_B_CACHE","bucket_search_stddev_ns",60,96728.75,413151.541415603,3493,2572,2595842
"A_B_CACHE","cache_hit_latency_ns",60,28.2333333333333,1.95167608686037,28,24,40
"A_B_CACHE","cache_hit_percent",60,18.3916666666667,2.11340368629444,17.16,16.2,22.69
"A_B_CACHE","cache_hit_stddev_ns",60,2232.58333333333,10516.3447060273,875,659,82332
"A_B_CACHE","cache_hits",60,735.833333333333,84.6242275415596,686.5,648,908
"A_B_CACHE","context_accuracy_percent",60,0,0,0,0,0
"A_B_CACHE","context_correct",60,0,0,0,0,0
"A_B_CACHE","context_predictions_total",60,0,0,0,0,0
"A_B_CACHE","cpu_freq_delta_mhz_q48",60,900027.733333333,4181438.56459175,0,-12517376,13041664
"A_B_CACHE","cpu_temp_delta_c_q48",60,0,0,0,0,0
"A_B_CACHE","decay_min_interval_ns",60,1000,0,1000,1000,1000
"A_B_CACHE","decay_rate_q16",60,1,0,1,1,1
"A_B_CACHE","decay_slope",60,0.33,0,0.33,0.33,0.33
"A_B_CACHE","enable_hotwords_cache",60,1,0,1,1,1
"A_B_CACHE","enable_pipelining",60,0,0,0,0,0
"A_B_CACHE","final_effective_window_size",60,4096,0,4096,4096,4096
