timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,adaptive_shrink_rate,heat_cache_demotion_threshold,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI
2025-11-09T11:36:19,A_B_C_FULL,16,4001,294,7.35,2988,74.68,39,1735,53,6838,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,539464695808,0,-1638400,1,1000,4096,75,10,1,1
2025-11-09T11:36:28,A_BASELINE,2,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.533333,0,0,0,0,4096,256791281664,0,-65536,1,1000,4096,75,10,0,0
2025-11-09T11:36:36,A_C_FULL,9,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,344365531136,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T11:36:45,A_B_CACHE,15,4001,15,0.37,3267,81.65,32,1086,47,4446,0,0,0,4096,2,0,0.101754,0.505263,0,0,0,0,4096,481319649280,0,0,1,1000,4096,75,10,1,0
2025-11-09T11:36:54,A_BASELINE,30,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,275704446976,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:37:03,A_B_C_FULL,25,4001,294,7.35,2988,74.68,40,1885,50,4219,851,752,88.37,4096,2,5,0.094737,1.214035,88.37,851,752,0,4096,358738624512,0,0,1,1000,4096,75,10,1,1
2025-11-09T11:37:03,A_B_C_FULL,26,4001,294,7.35,2988,74.68,40,1837,51,4344,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,346241499136,0,-131072,1,1000,4096,75,10,1,1
2025-11-09T11:37:12,A_B_CACHE,25,4001,15,0.37,3267,81.65,29,914,44,3017,0,0,0,4096,2,0,0.101754,0.487719,0,0,0,0,4096,297399615488,0,11534336,1,1000,4096,75,10,1,0
2025-11-09T11:37:21,A_C_FULL,6,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,295450771456,0,-131072,1,1000,4096,75,10,0,1
2025-11-09T11:37:21,A_C_FULL,19,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,296916811776,0,0,1,1000,4096,75,10,0,1
