"configuration","metric","observations","mean","sd","median","min","max"
"A_B_C_FULL","adaptive_shrink_rate",90,75,0,75,75,75
"A_B_C_FULL","avg_word_heat",90,1.59341126666667,0.187642379753891,1.6754385,0.835088,1.750877
"A_B_C_FULL","bucket_hit_percent",90,59.2932222222222,0.938921001305028,59.46,55.01,60.63
"A_B_C_FULL","bucket_hits",90,2372.23333333333,37.5697254403452,2379,2201,2426
"A_B_C_FULL","bucket_search_latency_ns",90,55.3555555555556,4.93624774729972,55,50,95
"A_B_C_FULL","bucket_search_stddev_ns",90,50675.0888888889,380922.446405843,4295,3375,3617070
"A_B_C_FULL","cache_hit_latency_ns",90,34.4444444444444,9.5941357452939,33,30,119
"A_B_C_FULL","cache_hit_percent",90,22.7365555555556,0.939236076282881,22.57,21.39,27.02
"A_B_C_FULL","cache_hit_stddev_ns",90,70377.4,594142.014243839,1303,1019,5614813
"A_B_C_FULL","cache_hits",90,909.766666666667,37.5697254403452,903,856,1081
"A_B_C_FULL","context_accuracy_percent",90,88.37,0,88.37,88.37,88.37
"A_B_C_FULL","context_correct",90,752,0,752,752,752
"A_B_C_FULL","context_predictions_total",90,851,0,851,851,851
"A_B_C_FULL","cpu_freq_delta_mhz_q48",90,1277952,4380621.13078029,0,-12582912,12845056
"A_B_C_FULL","cpu_temp_delta_c_q48",90,0,0,0,0,0
"A_B_C_FULL","decay_min_interval_ns",90,1000,0,1000,1000,1000
"A_B_C_FULL","decay_rate_q16",90,1,0,1,1,1
"A_B_C_FULL","decay_slope",90,0.33,0,0.33,0.33,0.33
"A_B_C_FULL","enable_hotwords_cache",90,1,0,1,1,1
"A_B_C_FULL","enable_pipelining",90,1,0,1,1,1
"A_B_C_FULL","final_effective_window_size",90,4096,0,4096,4096,4096
"A_B_C_FULL","heat_cache_demotion_threshold",90,10,0,10,10,10
"A_B_C_FULL","hot_word_count",90,5.68888888888889,0.697418102709928,6,3,6
"A_B_C_FULL","prefetch_accuracy_percent",90,88.37,0,88.37,88.37,88.37
"A_B_C_FULL","prefetch_attempts",90,851,0,851,851,851
"A_B_C_FULL","prefetch_hits",90,752,0,752,752,752
"A_B_C_FULL","rolling_window_size",90,4096,0,4096,4096,4096
"A_B_C_FULL","rolling_window_width",90,4096,0,4096,4096,4096
"A_B_C_FULL","stale_word_ratio",90,0.0768812666666667,0.00772406522150528,0.080702,0.05614,0.091228
"A_B_C_FULL","total_lookups",90,4001,0,4001,4001,4001
"A_B_C_FULL","vm_workload_duration_ns_q48",90,386498991081.244,30677000050.0732,379038171136,339529302016,515281780736
"A_B_C_FULL","window_tuning_checks",90,0,0,0,0,0
"A_B_CACHE","adaptive_shrink_rate",90,75,0,75,75,75
"A_B_CACHE","avg_word_heat",90,1.46795322222222,0.172827698000631,1.4473685,0.912281,1.778947
"A_B_CACHE","bucket_hit_percent",90,64.409,0.993386049175561,64.72,60.16,65.33
"A_B_CACHE","bucket_hits",90,2577.06666666667,39.7451996960187,2589.5,2407,2614
"A_B_CACHE","bucket_search_latency_ns",90,51.0555555555556,3.39980538475106,50,45,63
"A_B_CACHE","bucket_search_stddev_ns",90,23452.4444444444,78773.6454135064,3490,2643,524853
"A_B_CACHE","cache_hit_latency_ns",90,29.1888888888889,1.24426273865149,29,25,35
"A_B_CACHE","cache_hit_percent",90,17.6207777777778,0.99259984104595,17.31,16.7,21.87
"A_B_CACHE","cache_hit_stddev_ns",90,979.6,142.46787928938,959,708,1925
