"metric","observations","mean","sd","median","min","max"
"adaptive_shrink_rate",360,75,0,75,75,75
"avg_word_heat",360,1.42570173611111,0.250947778115615,1.421053,0.638596,1.778947
"bucket_hit_percent",360,30.9255555555556,31.0289820892583,27.505,0,65.33
"bucket_hits",360,1237.325,1241.46624715588,1100.5,0,2614
"bucket_search_latency_ns",360,26.6027777777778,26.8496379180299,22.5,0,95
"bucket_search_stddev_ns",360,18531.8833333333,194802.40596773,1321.5,0,3617070
"cache_hit_latency_ns",360,15.9083333333333,16.746510466762,12.5,0,119
"cache_hit_percent",360,10.0893333333333,10.2869656066674,8.35,0,27.02
"cache_hit_stddev_ns",360,17839.25,297382.787438608,354,0,5614813
"cache_hits",360,403.675,411.592217047049,334,0,1081
"context_accuracy_percent",360,22.0925,38.3185897396797,0,0,88.37
"context_correct",360,188,326.07875392372,0,0,752
"context_predictions_total",360,212.75,369.006674985486,0,0,851
"cpu_freq_delta_mhz_q48",360,1271034.31111111,4419556.79353921,0,-12582912,32964608
"cpu_temp_delta_c_q48",360,0,0,0,0,0
"decay_min_interval_ns",360,1000,0,1000,1000,1000
"decay_rate_q16",360,1,0,1,1,1
"decay_slope",360,0.33,0,0.33,0.33,0.33
"enable_hotwords_cache",360,0.5,0.500695894560844,0.5,0,1
"enable_pipelining",360,0.5,0.500695894560844,0.5,0,1
"final_effective_window_size",360,4096,0,4096,4096,4096
"heat_cache_demotion_threshold",360,10,0,10,10,10
"hot_word_count",360,4.62777777777778,1.1072340280264,5,1,6
"prefetch_accuracy_percent",360,22.0925,38.3185897396797,0,0,88.37
"prefetch_attempts",360,212.75,369.006674985486,0,0,851
"prefetch_hits",360,188,326.07875392372,0,0,752
"rolling_window_size",360,4096,0,4096,4096,4096
"rolling_window_width",360,4096,0,4096,4096,4096
"stale_word_ratio",360,0.080935675,0.0113742148873472,0.080702,0.05614,0.101754
"total_lookups",360,2000.5,2003.28427413794,2000.5,0,4001
"vm_workload_duration_ns_q48",360,321914124515.556,62528863888.309,319919718400,229622874112,806526124032
"window_tuning_checks",360,0,0,0,0,0
