"","cache_hit_percent","bucket_hit_percent","context_accuracy_percent","prefetch_accuracy_percent","vm_workload_duration_ns_q48","cache_hit_latency_ns","total_lookups","cache_hits","bucket_hits","cache_hit_stddev_ns","bucket_search_latency_ns","bucket_search_stddev_ns"
"cache_hit_percent",1,0.96851356044761,0.710806287031166,0.710806287031166,0.283568221775211,0.952236380748375,0.982153138644048,0.999999976260913,0.968503381410599,0.0733656815297112,0.984832399153156,0.11767105057908
"bucket_hit_percent",0.96851356044761,1,0.528566318181553,0.528566318181553,0.156167474289579,0.943471781127622,0.998053926431596,0.96848218747095,0.999999997315591,0.0551915230524893,0.986820628120326,0.0870870888607535
"context_accuracy_percent",0.710806287031166,0.528566318181553,1,1,0.597164012481344,0.639937702234812,0.577350269189626,0.710894953149439,0.528529542104208,0.102141527181309,0.619134169712999,0.0953977798937702
"prefetch_accuracy_percent",0.710806287031166,0.528566318181553,1,1,0.597164012481344,0.639937702234812,0.577350269189626,0.710894953149439,0.528529542104208,0.102141527181309,0.619134169712999,0.0953977798937702
"vm_workload_duration_ns_q48",0.283568221775211,0.156167474289579,0.597164012481344,0.597164012481344,1,0.251397453485314,0.189005957179691,0.283635302052053,0.15614469501818,0.0562775938459849,0.234898735013142,0.039159015572825
"cache_hit_latency_ns",0.952236380748375,0.943471781127622,0.639937702234812,0.639937702234812,0.251397453485314,1,0.951271275901279,0.952222904936996,0.943466053163029,0.340808631408137,0.949788995184197,0.0849966512122722
"total_lookups",0.982153138644048,0.998053926431596,0.577350269189626,0.577350269189626,0.189005957179691,0.951271275901279,1,0.982129432315017,0.99805137539065,0.0600709900796694,0.992184822597051,0.0952640996129955
"cache_hits",0.999999976260913,0.96848218747095,0.710894953149439,0.710894953149439,0.283635302052053,0.952222904936996,0.982129432315017,1,0.968471994330723,0.0733598925715931,0.984816777274077,0.117680192713397
"bucket_hits",0.968503381410599,0.999999997315591,0.528529542104208,0.528529542104208,0.15614469501818,0.943466053163029,0.99805137539065,0.968471994330723,1,0.0551922629752055,0.986815753233117,0.0870822806824204
"cache_hit_stddev_ns",0.0733656815297112,0.0551915230524893,0.102141527181309,0.102141527181309,0.0562775938459849,0.340808631408137,0.0600709900796694,0.0733598925715931,0.0551922629752055,1,0.059243303406827,-0.00408045019752235
"bucket_search_latency_ns",0.984832399153156,0.986820628120326,0.619134169712999,0.619134169712999,0.234898735013142,0.949788995184197,0.992184822597051,0.984816777274077,0.986815753233117,0.059243303406827,1,0.183624086722619
"bucket_search_stddev_ns",0.11767105057908,0.0870870888607535,0.0953977798937702,0.0953977798937702,0.039159015572825,0.0849966512122722,0.0952640996129955,0.117680192713397,0.0870822806824204,-0.00408045019752235,0.183624086722619,1
