"configuration","cache_hit_percent","bucket_hit_percent","context_accuracy_percent","prefetch_accuracy_percent","vm_workload_duration_ns_q48","cache_hit_latency_ns"
"A_B_C_FULL__HB_OFF",28.7470277777778,53.2829722222222,88.37,88.37,257004058851.556,29.6805555555556
"A_B_C_FULL__HB_ON",27.7094166666667,54.3205833333333,88.37,88.37,310711076090.311,30.4888888888889
"A_B_CACHE__HB_OFF",24.3968888888889,57.6329722222222,0,0,195781624172.089,27.0694444444444
"A_B_CACHE__HB_ON",23.0125555555556,59.0172222222222,0,0,217948105568.711,28.0361111111111
"A_BASELINE__HB_OFF",0,0,0,0,192404588498.489,0
"A_BASELINE__HB_ON",0,0,0,0,213960906433.422,0
"A_C_FULL__HB_OFF",0,0,0,0,246132978665.244,0
"A_C_FULL__HB_ON",0,0,0,0,272641248824.889,0
