timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,hot_word_count,stale_word_ratio,avg_word_heat,prefetch_accuracy_percent,prefetch_attempts,prefetch_hits,window_tuning_checks,final_effective_window_size,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,decay_rate_q16,decay_min_interval_ns,rolling_window_size,adaptive_shrink_rate,heat_cache_demotion_threshold,enable_hotwords_cache,enable_pipelining
2025-11-09T20:20:28,A_B_CACHE,37,4001,675,16.87,2607,65.16,29,907,51,15935,0,0,0.00,4096,0.33,3,0.094737,1.449123,0.00,0,0,0,4096,272478109696,0,-65536,1,1000,4096,75,10,1,0
2025-11-09T20:20:36,A_B_C_FULL,57,4001,955,23.87,2327,58.16,31,1124,54,4270,851,752,88.37,4096,0.33,6,0.087719,1.705263,88.37,851,752,0,4096,332418908160,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T20:20:43,A_C_FULL,6,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,1,0.094737,1.157895,0.00,0,0,0,4096,320233472000,0,458752,1,1000,4096,75,10,0,1
2025-11-09T20:20:50,A_B_CACHE,58,4001,685,17.12,2597,64.91,28,874,50,3387,0,0,0.00,4096,0.33,3,0.094737,1.326316,0.00,0,0,0,4096,264728018944,0,0,1,1000,4096,75,10,1,0
2025-11-09T20:20:58,A_B_C_FULL,2,4001,899,22.47,2383,59.56,33,1297,56,8373,851,752,88.37,4096,0.33,6,0.087719,1.705263,88.37,851,752,0,4096,362415587328,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T20:20:58,A_B_C_FULL,60,4001,903,22.57,2379,59.46,31,1068,51,3718,851,752,88.37,4096,0.33,6,0.087719,1.691228,88.37,851,752,0,4096,327931002880,0,-655360,1,1000,4096,75,10,1,1
2025-11-09T20:21:05,A_C_FULL,54,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,1,0.094737,0.936842,0.00,0,0,0,4096,307957661696,0,-1245184,1,1000,4096,75,10,0,1
2025-11-09T20:21:12,A_BASELINE,2,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.631579,0.00,0,0,0,4096,218374078464,0,12648448,1,1000,4096,75,10,0,0
2025-11-09T20:21:13,A_BASELINE,51,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.094737,1.592982,0.00,0,0,0,4096,262894387200,0,65536,1,1000,4096,75,10,0,0
2025-11-09T20:21:20,A_B_C_FULL,49,4001,1074,26.84,2208,55.19,31,1156,54,4281,851,752,88.37,4096,0.33,6,0.087719,1.600000,88.37,851,752,0,4096,337312677888,0,262144,1,1000,4096,75,10,1,1
