timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,hot_word_count,stale_word_ratio,avg_word_heat,prefetch_accuracy_percent,prefetch_attempts,prefetch_hits,window_tuning_checks,final_effective_window_size,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,decay_rate_q16,decay_min_interval_ns,rolling_window_size,adaptive_shrink_rate,heat_cache_demotion_threshold,enable_hotwords_cache,enable_pipelining
2025-11-09T23:28:42,A_B_C_FULL,44,4001,912,22.79,2370,59.24,33,1255,54,4234,851,752,88.37,4096,0.33,6,0.080702,1.649123,88.37,851,752,0,4096,384077529088,0,-131072,1,1000,4096,75,10,1,1
2025-11-09T23:28:51,A_C_FULL,8,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,2,0.063158,0.771930,0.00,0,0,0,4096,330676961280,0,196608,1,1000,4096,75,10,0,1
2025-11-09T23:28:59,A_B_C_FULL,1,4001,910,22.74,2372,59.29,34,1277,55,4155,851,752,88.37,4096,0.33,6,0.080702,1.701754,88.37,851,752,0,4096,375529144320,0,-393216,1,1000,4096,75,10,1,1
2025-11-09T23:29:07,A_C_FULL,13,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,3,0.063158,0.929825,0.00,0,0,0,4096,332583862272,0,917504,1,1000,4096,75,10,0,1
2025-11-09T23:29:15,A_B_CACHE,40,4001,687,17.17,2595,64.86,29,952,51,3666,0,0,0.00,4096,0.33,4,0.091228,1.343860,0.00,0,0,0,4096,277584478208,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:29:23,A_C_FULL,53,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,3,0.063158,0.884211,0.00,0,0,0,4096,329212493824,0,196608,1,1000,4096,75,10,0,1
2025-11-09T23:29:31,A_B_CACHE,88,4001,690,17.25,2592,64.78,29,965,50,3470,0,0,0.00,4096,0.33,4,0.070175,1.354386,0.00,0,0,0,4096,275965476864,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:29:39,A_B_C_FULL,64,4001,897,22.42,2385,59.61,33,1420,55,4190,851,752,88.37,4096,0.33,6,0.080702,1.722807,88.37,851,752,0,4096,374529851392,0,196608,1,1000,4096,75,10,1,1
2025-11-09T23:29:39,A_B_C_FULL,55,4001,899,22.47,2383,59.56,33,1320,55,4459,851,752,88.37,4096,0.33,6,0.080702,1.663158,88.37,851,752,0,4096,385153957888,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T23:29:46,A_BASELINE,77,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.080702,1.585965,0.00,0,0,0,4096,276235223040,0,0,1,1000,4096,75,10,0,0
2025-11-09T23:29:54,A_B_CACHE,67,4001,683,17.07,2599,64.96,30,1074,52,4041,0,0,0.00,4096,0.33,5,0.094737,1.414035,0.00,0,0,0,4096,324681859072,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:30:02,A_B_C_FULL,21,4001,926,23.14,2356,58.89,32,1142,53,18447,851,752,88.37,4096,0.33,6,0.066667,1.715789,88.37,851,752,0,4096,352419250176,0,65536,1,1000,4096,75,10,1,1
